時間(秒),総合COP左右X(cm),総合COP前後Y(cm),左プレートCOP左右X(cm),左プレートCOP前後Y(cm),左荷重(kgf),右プレートCOP左右X(cm),右プレートCOP前後Y(cm),右荷重(kgf)
2.79,-2.229,-7.21,-20.336,-7.067,24.859,17.091,-7.363,23.297
2.8,-2.229,-7.217,-20.343,-7.08,24.849,17.091,-7.363,23.297
2.81,-2.204,-7.206,-20.336,-7.08,24.781,17.107,-7.341,23.268
2.82,-2.205,-7.206,-20.33,-7.067,24.79,17.113,-7.354,23.258
2.83,-2.205,-7.193,-20.323,-7.054,24.8,17.107,-7.341,23.268
2.84,-2.232,-7.189,-20.355,-7.046,24.829,17.107,-7.341,23.268
2.85,-2.233,-7.199,-20.336,-7.067,24.859,17.107,-7.341,23.268
2.86,-2.252,-7.19,-20.351,-7.049,24.888,17.107,-7.341,23.268
2.87,-2.262,-7.175,-20.349,-7.021,24.917,17.107,-7.341,23.268
2.88,-2.262,-7.175,-20.349,-7.021,24.917,17.107,-7.341,23.268
2.89,-2.262,-7.175,-20.349,-7.021,24.917,17.107,-7.341,23.268
2.9,-2.289,-7.171,-20.38,-7.013,24.947,17.107,-7.341,23.268
2.91,-2.29,-7.152,-20.361,-6.975,24.976,17.107,-7.341,23.268
2.92,-2.29,-7.152,-20.361,-6.975,24.976,17.107,-7.341,23.268
2.93,-2.293,-7.13,-20.38,-6.954,24.947,17.124,-7.318,23.239
2.94,-2.287,-7.117,-20.342,-6.95,24.927,17.104,-7.296,23.209
2.95,-2.298,-7.091,-20.336,-6.918,24.937,17.091,-7.278,23.2
2.96,-2.297,-7.084,-20.349,-6.904,24.917,17.091,-7.278,23.2
2.97,-2.298,-7.091,-20.349,-6.904,24.917,17.097,-7.292,23.19
2.98,-2.296,-7.081,-20.342,-6.911,24.927,17.086,-7.265,23.209
2.99,-2.292,-7.087,-20.361,-6.917,24.976,17.113,-7.27,23.258
3,-2.29,-7.091,-20.361,-6.917,24.976,17.107,-7.278,23.268
3.01,-2.289,-7.109,-20.342,-6.938,25.005,17.097,-7.293,23.287
3.02,-2.307,-7.106,-20.363,-6.933,25.025,17.097,-7.293,23.287
3.03,-2.293,-7.108,-20.342,-6.938,25.005,17.113,-7.291,23.258
3.04,-2.303,-7.105,-20.361,-6.917,24.976,17.106,-7.308,23.239
3.05,-2.328,-7.104,-20.361,-6.917,24.976,17.102,-7.305,23.18
3.06,-2.309,-7.096,-20.359,-6.901,24.927,17.102,-7.305,23.18
3.07,-2.3,-7.097,-20.349,-6.904,24.917,17.102,-7.305,23.18
3.08,-2.3,-7.097,-20.349,-6.904,24.917,17.102,-7.305,23.18
3.09,-2.3,-7.097,-20.349,-6.904,24.917,17.102,-7.305,23.18
3.1,-2.288,-7.11,-20.336,-6.918,24.937,17.104,-7.317,23.209
3.11,-2.276,-7.113,-20.34,-6.922,24.956,17.124,-7.318,23.239
3.12,-2.289,-7.141,-20.38,-6.954,24.947,17.107,-7.341,23.268
3.13,-2.29,-7.152,-20.361,-6.975,24.976,17.107,-7.341,23.268
3.14,-2.29,-7.152,-20.361,-6.975,24.976,17.107,-7.341,23.268
3.15,-2.28,-7.157,-20.351,-6.978,24.966,17.102,-7.348,23.278
3.16,-2.258,-7.166,-20.349,-6.982,24.917,17.091,-7.363,23.297
3.17,-2.257,-7.179,-20.362,-7.007,24.898,17.091,-7.363,23.297
3.18,-2.258,-7.182,-20.368,-7,24.888,17.097,-7.376,23.287
3.19,-2.261,-7.195,-20.368,-7,24.888,17.107,-7.404,23.268
3.2,-2.249,-7.204,-20.357,-7.003,24.878,17.097,-7.418,23.287
3.21,-2.229,-7.21,-20.336,-7.008,24.859,17.091,-7.426,23.297
